Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,ZIP Code,SWIS Code,DEC Region,Spill Date,Received Date,Contributing Factor,Waterbody,Source,Close Date,Material Name,Material Family,Quantity,Units,Recovered
9113335,11TH AVE & W 49TH ST,11TH AVE & W 49TH ST,,MANHATTAN,New York,,3101,2,8/6/1991,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"5,000",Gallons,0
8810179,11TH AVE & W 49TH ST,11TH AVE & W 49TH ST,,MANHATTAN,New York,,3101,2,3/21/1989,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"6,700",Gallons,0
8608085,11TH ST & 43RD RD,11TH ST & 43RD RD,,QUEENS,Queens,,4101,2,11/8/1986,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"5,000",Gallons,0
8710976,11TH ST & 46TH AVE,11TH ST & 46TH AVE,,QUEENS,Queens,,4101,2,1/11/1988,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"4,500",Gallons,0
8102000,11TH ST/41ST RD,11TH ST & 41ST RD,,QUEENS,Queens,,4101,2,1/5/1982,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"7,000",Gallons,0
1300894,1226 E GUNHILL LLC,1244 EAST GUNHILL RD,,BRONX,Bronx,,301,2,4/25/2013,4/26/2013,Unknown,,Commercial/Industrial,,other  -  tce,Other,0,,0
9708846,1255 EAST GUNHILL ROAD,1255 EAST GUNHILL ROAD,,BRONX,Bronx,,301,2,10/29/1997,10/29/1997,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9113332,12TH AVE BET 40TH-42ND ST,12TH AVE BET 40TH-42ND ST,,MANHATTAN,New York,,3101,2,6/20/1991,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"10,000",Gallons,0
8912495,12TH ST & 40TH AVE,12TH ST & 40TH AVE,,QUEENS,Queens,,4101,2,1/16/1990,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"5,000",Gallons,0
8710979,12TH ST & 40TH AVE,12TH ST & 40TH AVE,,QUEENS,Queens,,4101,2,2/29/1988,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"1,300",Gallons,0
8403999,12TH ST/47TH AVE,12TH ST/47TH AVE,,QUEENS,Queens,,4101,2,4/6/1984,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"5,000",Gallons,0
1307426,132ND ST STATION,624 W132 ST,,MANHATTAN,New York,,3101,2,10/18/2013,10/18/2013,Equipment Failure,,Commercial/Industrial,,unknown petroleum,Petroleum,0.1,Gallons,0
9104410,135TH ST/P S 116,135TH ST/P S 116,,QUEENS,Queens,,4101,2,7/24/1991,7/24/1991,Tank Test Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Pounds,0
9606636,13TH ST & AVENUE D,13TH ST & AVENUE D,,MANHATTAN,New York,,3101,2,8/23/1996,8/23/1996,Unknown,,Unknown,,unknown petroleum,Petroleum,15,Gallons,0
1403144,BUSINESS,499 OCEAN PKWAY,,BROOKLYN,Kings,,2401,2,6/23/2014,6/23/2014,Tank Test Failure,,Commercial/Industrial,,#4 fuel oil,Petroleum,0,,0
1201519,1450 ATLANTIC AVE INC,1450 atlantic ave,,brooklyn,Kings,,2401,2,5/16/2012,5/16/2012,Equipment Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9400447,148 BARROW STREET,148 BARROW STREET,,MANHATTAN,New York,,3101,2,4/11/1994,4/11/1994,Unknown,,Unknown,,gasoline,Petroleum,0,Pounds,0
8504940,14TH ST/AVE C,14TH ST E/O AVE C,,MANHATTAN,New York,,3101,2,6/17/1985,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"3,000",Gallons,0
9402381,14TH STREET & AVENUE,14TH STREET / AVENUE C,,NEW YORK CITY,New York,,3101,2,5/15/1994,5/15/1994,Unknown,,Unknown,,unknown petroleum,Petroleum,0,Pounds,0
9402381,14TH STREET & AVENUE,14TH STREET / AVENUE C,,NEW YORK CITY,New York,,3101,2,5/15/1994,5/15/1994,Unknown,,Unknown,,transformer oil,Petroleum,0,Pounds,0
1508123,CON ED OUTFALL G/MANHOLE 2A,31-01 20TH AVE,,ASTORIA,Queens,,4101,2,11/4/2015,11/4/2015,Unknown,,Unknown,,unknown petroleum,Petroleum,0,,0
1801045,CON ED,1-11 HUDSON AVE,,BROOKLYN,Kings,,2401,2,4/30/2018,4/30/2018,Equipment Failure,,Transformer,,dielectric fluid,Petroleum,0,,0
9505827,1525 MYRTLE AVENUE,1525 MYRTLE AVENUE,,BROOKLYN,Kings,,2401,2,8/10/1995,8/11/1995,Housekeeping,,"Non Major Facility > 1,100 gal",,waste oil/used oil,Petroleum,0,Pounds,0
9505827,1525 MYRTLE AVENUE,1525 MYRTLE AVENUE,,BROOKLYN,Kings,,2401,2,8/10/1995,8/11/1995,Housekeeping,,"Non Major Facility > 1,100 gal",,gasoline,Petroleum,0,Gallons,0
8904151,161-15 46TH AVE/SUNOCO,161-15 46TH AVENUE,,NEW YORK CITY,Queens,,4101,2,7/26/1989,7/26/1989,Tank Test Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Pounds,0
9506588,169 3RD AVENUE,169 3RD AVENUE,,BROOKLYN,Kings,,2401,2,8/17/1995,8/29/1995,Housekeeping,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9605486,16TH ST WORK LOCATION,700 EAST 16TH STREET,,MANHATTAN,New York,,3101,2,7/23/1996,7/29/1996,Unknown,,Commercial/Industrial,,unknown material,Other,0,Gallons,0
9608782,19-41 42ND STREET -MTBE,19-41 42ND STREET,,ASTORIA,Queens,,4101,2,10/15/1996,10/15/1996,Equipment Failure,,Commercial/Industrial,,BTEX,Oxygenates,0,,0
9608782,19-41 42ND STREET -MTBE,19-41 42ND STREET,,ASTORIA,Queens,,4101,2,10/15/1996,10/15/1996,Equipment Failure,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
9608782,19-41 42ND STREET -MTBE,19-41 42ND STREET,,ASTORIA,Queens,,4101,2,10/15/1996,10/15/1996,Equipment Failure,,Commercial/Industrial,,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
806736,1988 2ND AVE,1988 2ND AVE,IMPACTED SITE: 1986 2ND AVE,NEW YORK,New York,,3101,2,9/15/2008,9/15/2008,Equipment Failure,,Gasoline Station or other PBS Facility,,#6 fuel oil,Petroleum,2,Gallons,0
1710278,1ST FLOOR,40-37 23RD ST,,LONG ISLAND CITY,Queens,,4101,2,2/13/2018,2/13/2018,Unknown,,Commercial/Industrial,,other  -  odor,Other,0,,0
612492,2 DIFFERENT GETTY STATIONS - MISC,10 MALCOM X BLVD, ,BROOKLYN,Kings,,2401,2,2/15/2007,2/15/2007,Other,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Gallons,0
9305581,20-21 31TH AVENUE,20021 31TH AVENUE,,ASTORIA,Queens,,4101,2,8/5/1993,8/5/1993,Deliberate,LONG ISLAND SOUND,"Major Facility (MOSF) > 400,000 gal",,unknown petroleum,Petroleum,0,,0
9411566,201 EAST 19TH ST,201 EAST 19TH ST,,MANHATTAN,New York,,3101,2,11/29/1994,11/29/1994,Equipment Failure,,Commercial/Industrial,,#6 fuel oil,Petroleum,700,Gallons,0
1800385,204 WITHERS STREET LLC,204 WITHERS ST,,BROOKLYN,Kings,,2401,2,4/11/2018,4/11/2018,Equipment Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,100,Gallons,0
9509121,2040 8TH AVE,2040 8TH AVE,2040 FREDERICK DOUGLASS BLVD,NEW YORK,New York,,3101,2,10/24/1995,10/24/1995,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
8706272,2052 VICTORY BLVD./SUNOCO,2052 VICTORY BLVD,,STATEN ISLAND,Richmond,,4301,2,10/24/1987,10/24/1987,Tank Test Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Pounds,0
1610374,207 25TH STREET,207 25TH STREET,,BROOKLYN,Kings,,2401,2,9/10/1993,2/16/2017,Tank Test Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
106375,207 TH STREET YARD-NYCT,3961 TENTH AVE,,MANHATTAN,New York,,3101,2,9/17/2001,9/17/2001,Tank Test Failure,,Commercial/Industrial,,#6 fuel oil,Petroleum,0,Gallons,0
9514532,20TH & 23RD STS,20TH & 23RD ST UNDER FDR,,MANHATTAN,New York,,3101,2,2/13/1996,2/13/1996,Unknown,,Unknown,,#6 fuel oil,Petroleum,0,Gallons,0
9516432,20TH AVENUE AT 21ST STREE,20TH AVENUE AT 21ST STREE,,QUEENS,Queens,,4101,2,3/21/1996,3/21/1996,Equipment Failure,UNKNOWN,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,8,Gallons,8
9501431,211 EAST 110TH ST,211 EAST 110TH STREET,,MANHATTAN,New York,,3101,2,5/4/1995,5/4/1995,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,10,Gallons,0
6250,2171 COYLE ST,2171 COYLE ST,,BROOKLYN,Kings,,2401,2,8/24/2000,8/25/2000,Unknown,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,Gallons,0
8912492,21ST ST & 38TH AVE,21ST ST & 38TH AVE,,QUEENS,Queens,,4101,2,5/18/1989,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"13,200",Gallons,0
9500744,21ST ST & 41ST AVE,21ST ST & 41ST AVE,,LONG ISLAND CITY,Queens,,4101,2,4/19/1995,4/19/1995,Unknown,,Unknown,,#6 fuel oil,Petroleum,0,Pounds,0
9403515,21ST ST/38TH AVE,21ST ST/38TH AVE,,LONG ISLAND CITY,Queens,,4101,2,6/13/1994,6/13/1994,Equipment Failure,,Commercial/Industrial,,non PCB oil,Petroleum,0,Gallons,0
9900272,229 EAST 94TH ST,229 EAST 94TH STREET,,BROOKLYN,Kings,,2401,2,4/7/1999,4/7/1999,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
9904767,23-44 102ND STREET,23-44 102 ST,,EAST ELMHURST,Queens,,4101,2,7/21/1999,7/21/1999,Unknown,,Private Dwelling,,#2 fuel oil,Petroleum,1,Gallons,0
1308069,24 OAK LLC,24 OAK ST,,GREEN POINT,Kings,,2401,2,11/7/2013,11/7/2013,Other,,Commercial/Industrial,,unknown petroleum,Petroleum,0,,0
407864,240 WEST 116TH ST,240-242 WEST 116TH ST, ,MANHATTAN,New York,,3101,2,10/15/2004,10/15/2004,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,250,Gallons,0
9515731,25 PRECINCT NYPD -DDC,120 EAST 119TH STREET,,HARLEM,New York,,3101,2,3/7/1996,3/7/1996,Equipment Failure,,"Institutional, Educational, Gov., Other",,#6 fuel oil,Petroleum,5,Gallons,0
9515731,25 PRECINCT NYPD -DDC,120 EAST 119TH STREET,,HARLEM,New York,,3101,2,3/7/1996,3/7/1996,Equipment Failure,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Gallons,0
8709772,25TH ST / FDR DR SERV RD,25TH ST / FDR DR SERV RD,,NEW YORK CITY,New York,,3101,2,2/18/1988,2/18/1988,Equipment Failure,EAST RIVER,Commercial/Industrial,,#6 fuel oil,Petroleum,0,Pounds,0
9811448,268-14 81ST AVENUE,268-10 81ST AVE,,QUEENS,Queens,,4101,2,12/11/1998,12/11/1998,Deliberate,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
811098,280 DEVELOPMENT,280 RICHARDS STREET,,BROOKLYN,Kings,,2401,2,1/6/2009,1/6/2009,Unknown,,Commercial/Industrial,,#6 fuel oil,Petroleum,0,Gallons,0
9602821,2928 HONE AVE,2928 HONE AVE,,BRONX,Bronx,,301,2,5/29/1996,5/29/1996,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
9402460,2975 AVENUE U,2975 AVENUE U,,BROOKLYN,Kings,,2401,2,5/18/1994,5/19/1994,Unknown,,Commercial/Industrial,,gasoline,Petroleum,0,Pounds,0
9502298,29TH ST & 3RD AVE,29TH ST/3RD AVE,,BROOKLYN,Kings,,2401,2,5/23/1995,5/24/1995,Equipment Failure,,Commercial/Industrial,,non PCB oil,Petroleum,20,Gallons,0
9502298,29TH ST & 3RD AVE,29TH ST/3RD AVE,,BROOKLYN,Kings,,2401,2,5/23/1995,5/24/1995,Equipment Failure,,Commercial/Industrial,,transformer oil,Petroleum,0,Pounds,0
1305128,3 CATCH BASIN CLOSE TO 2 UST 6000 G. PBS 2-456454,725 WEST 135TH STREET,"NEW YORK, NY 10031",MANHATTAN,New York,10031,3101,2,8/6/2013,8/6/2013,Tank Test Failure,NORTH RIVER,"Institutional, Educational, Gov., Other",,waste oil/used oil,Petroleum,7,Gallons,0
9801670,3012 YOUNG AVE,3012 YOUNG AVE,,BRONX,Bronx,,301,2,5/7/1998,5/7/1998,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
1801822,305 EAST 40TH ST,305 EAST 40TH ST,,,New York,,3101,2,5/17/2018,5/17/2018,Equipment Failure,,Commercial/Industrial,,unknown petroleum,Petroleum,1,Gallons,0
9416241,31-01  20TH AVENUE,31001 20TH AVENUE,,ASTORIA,Queens,,4101,2,3/15/1995,3/15/1995,Equipment Failure,,Commercial/Industrial,,non PCB oil,Petroleum,0,Gallons,0
9416241,31-01  20TH AVENUE,31001 20TH AVENUE,,ASTORIA,Queens,,4101,2,3/15/1995,3/15/1995,Equipment Failure,,Commercial/Industrial,,mineral/white spirits,Petroleum,0,,0
9703716,31-01 20TH AVENUE,31-01 20TH AVENUE,,QUEENS,Queens,,4101,2,6/25/1997,6/26/1997,Equipment Failure,,"Institutional, Educational, Gov., Other",,transformer oil,Petroleum,1,Gallons,1
9416319,31-01 20TH AVENUE,31001 20TH AVENUE,,ASTORIA,Queens,,4101,2,3/17/1995,3/17/1995,Equipment Failure,,Commercial/Industrial,,unknown petroleum,Petroleum,1,Gallons,1
1215703,314 RUTLEDGE STREET  LLC,314 RUTLEDGE STREET,,BROOKLYN,Kings,,2401,2,11/29/2012,11/29/2012,Unknown,,Commercial/Industrial,,mineral/white spirits,Petroleum,0,,0
9805016,3145 BAISLEY AVE,3145 BAISLEY AVE,,BRONX,Bronx,,301,2,7/22/1998,7/22/1998,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
8905358,32-32 QUEENS BLVD/SUNOCO,32-32 QUEENS BLVD,,NEW YORK CITY,Queens,,4101,2,8/30/1989,8/30/1989,Tank Test Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Pounds,0
12739,32-50 HUNTERS POINT AVE,32-50 HUNTERS POINT AVE,,LONG ISLAND CITY,Queens,,4101,2,2/28/2001,3/1/2001,Unknown,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
1304944,333 SEVENTH AVENUE REALTY CO - TTF,333 7TH AVE,,NEW YORK CITY,New York,,3101,2,8/6/2013,8/6/2013,Tank Test Failure,,Commercial/Industrial,,#6 fuel oil,Petroleum,0,,0
9603735,36TH AVENUE/VERNON BLVD,36TH AVENUE/VERNON BLVD,,QUEENS,Queens,,4101,2,6/18/1996,6/18/1996,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,0,Gallons,0
904539,38-84 RAILROAD AVE,38-84 RAILROAD AVE,,LONG ISLAND CITY,Queens,,4101,2,7/19/2009,7/19/2009,Unknown,,Commercial/Industrial,,unknown material,Other,0,,0
1802922,38M05 FEEDER LEAK,BETWEEN VERNON SUB STATION AND THE ED KOCH BRIDGE,,NEW YORK CITY,Queens,,4101,2,6/15/2018,6/15/2018,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,550,Gallons,0
9113339,38TH AVE & 10TH ST,38TH AVE & 10TH ST,,QUEENS,Queens,,4101,2,1/27/1992,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"7,000",Gallons,0
704713,3970 BRONXWOOD AVE,3970 BRONXWOOD AVE, ,BRONX,Bronx,,301,2,7/26/2007,7/26/2007,Other,,"Institutional, Educational, Gov., Other",,unknown petroleum,Petroleum,0,Gallons,0
9506885,40 PRECINCT NYPD -DDC,257 ALEXANDER AVENUE,,BRONX,Bronx,,301,2,9/1/1995,9/6/1995,Unknown,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Gallons,0
9309139,42-20 VERNON BLVD,42-20 VERNON BLVD,,LONG ISLAND CITY,Queens,,4101,2,10/19/1993,10/28/1993,Equipment Failure,,"Major Facility (MOSF) > 400,000 gal",,gasoline,Petroleum,0,Gallons,0
9506328,4222 74TH STREET         ,4222 74TH STREET,,ELMHURST,Queens,,4101,2,8/22/1995,8/22/1995,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,102,Gallons,102
9209640,43-53 MAIN STREET,43-53 MAIN STREET,,FLUSHING,Queens,,4101,2,11/19/1992,11/19/1992,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Pounds,0
1706911,45 FT NORTH OF 37TH AVE,WOODSIDE AVE,,QUEENS,Queens,,4101,2,10/17/2017,10/17/2017,Unknown,,Unknown,,diesel,Petroleum,0,,0
9512435,455 SCHENECTADY AVE,455 SCHENECTADY AVE,,BROOKLYN,Kings,11203,2401,2,1/5/1996,1/5/1996,Tank Test Failure,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
7141,456 11TH AVE,456 11TH AVE,,NEW YORK,New York,,3101,2,9/18/2000,9/18/2000,Equipment Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9407396,47 PRECINCT NYPD -DDC,4111 LACONIA AVENUE,,BRONX,Bronx,,301,2,9/1/1994,9/1/1994,Equipment Failure,,"Institutional, Educational, Gov., Other",,unknown petroleum,Petroleum,0,Pounds,0
9608924,47 W 42ND ST             ,47 W 42ND ST,,MANHATTAN,New York,,3101,2,10/17/1996,10/18/1996,Unknown,,"Institutional, Educational, Gov., Other",,transformer oil,Petroleum,100,Gallons,0
9206479,47-03 108TH STREET,47-03 108TH ST,,CORONA,Queens,11368,4101,2,9/3/1992,9/3/1992,Tank Test Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Pounds,0
9206479,47-03 108TH STREET,47-03 108TH ST,,CORONA,Queens,11368,4101,2,9/3/1992,9/3/1992,Tank Test Failure,,Gasoline Station or other PBS Facility,,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
9206479,47-03 108TH STREET,47-03 108TH ST,,CORONA,Queens,11368,4101,2,9/3/1992,9/3/1992,Tank Test Failure,,Gasoline Station or other PBS Facility,,BTEX,Oxygenates,0,,0
9302583,4750 BEDFORD AVE,4750 BEDFORD AVE,,BROOKLYN,Kings,,2401,2,5/26/1993,5/26/1993,Unknown,,Commercial/Industrial,,#6 fuel oil,Petroleum,60,Gallons,0
207349,48 LAIGHT STREET,48 LAIGHT STREET,179 HUDSON STREET,MANHATTAN,New York,,3101,2,10/16/2002,10/16/2002,Unknown,,Unknown,,gasoline,Petroleum,0,Gallons,0
776,4823 BEACH 48TH ST,4823 BEACH 48TH ST,,BROOKLYN,Kings,,2401,2,4/6/2000,4/19/2000,Unknown,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Gallons,0
8809911,498 3RD AVENUE,498 3RD AVENUE,498 THIRD AVENUE,BROOKLYN,Kings,11215,2401,2,3/14/1989,3/14/1989,Tank Test Failure,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
8303206,4TH AVE/6TH ST,4TH AVE N/O 6TH ST,,BROOKLYN,Kings,,2401,2,7/21/1983,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"2,000",Gallons,0
8404005,4TH AVE/GARFIELD ST,4TH AVE/GARFIELD ST,,BROOKLYN,Kings,,2401,2,12/17/1984,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"1,000",Gallons,0
1108592,500 ACE AVE - TTF,500 ACE AVE,,MANHATTEN,New York,,3101,2,10/7/2011,10/7/2011,Tank Test Failure,,Private Dwelling,,#2 fuel oil,Petroleum,0,,0
1100799,5049 MANHOLE,MARSHALL ST AND HUDSON AVE,,BROOKLYN,Kings,,2401,2,4/22/2011,4/22/2011,Equipment Failure,,Commercial/Industrial,,unknown petroleum,Petroleum,30,Gallons,0
9912551,505-509 W. 41ST ST,505-509 WEST 41ST ST,,MANHATTAN,New York,,3101,2,2/3/2000,2/3/2000,Unknown,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Gallons,0
9705150,51 EAST TWELFTH ST,51 EAST TWELFTH ST,,MANHATTAN,New York,,3101,2,7/29/1997,7/29/1997,Unknown,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
1501318,540 HUDSON ST LLC,538 -544 HUDSON ST,,MANHATTAN,New York,,3101,2,5/5/2015,5/6/2015,Unknown,,Commercial/Industrial,,unknown petroleum,Petroleum,0,,0
1505292,540 WEST 21 HOLDINGS / ART GALLERY,540 WEST 21ST ST,,NEW YORK,New York,,3101,2,8/17/2015,8/17/2015,Unknown,,Commercial/Industrial,,unknown non-petro/non-haz material,Other,0,Gallons,0
1710091,550 CLINTON PROPERTY CORP,825 ATLANTIC AVE,,BROOKLYN,Kings,,2401,2,2/1/2018,2/6/2018,Unknown,,Gasoline Station or other PBS Facility,,unknown petroleum,Petroleum,0,,0
1711,571 WEST 215TH ST,571 WEST 215TH ST,,MANHATTAN,New York,,3101,2,5/10/2000,5/10/2000,Unknown,,Private Dwelling,,#2 fuel oil,Petroleum,20,Gallons,0
1707889,58 GERRY ST LLC,58 GERRY ST,,BROOKLYN,Kings,,2401,2,11/17/2017,11/17/2017,Other,,Commercial/Industrial,,gasoline,Petroleum,20,Gallons,0
1802090,59 ST SUBSTATION,850 12TH AVE,,NY,New York,,3101,2,5/22/2018,5/22/2018,Equipment Failure,,Commercial/Industrial,,lube oil,Petroleum,15,Gallons,0
1210302,59TH ST GENERATING STATION,850 12TH AVE,,NEW YORK,New York,,3101,2,11/14/2012,11/14/2012,Equipment Failure,,Commercial/Industrial,,other  -  water,Other,100,Gallons,0
1210302,59TH ST GENERATING STATION,850 12TH AVE,,NEW YORK,New York,,3101,2,11/14/2012,11/14/2012,Equipment Failure,,Commercial/Industrial,,lube oil,Petroleum,3,Gallons,0
1206754,59TH ST GENRATOR SITE,850 12TH AVE,,MANHATTAN,New York,,3101,2,10/9/2012,10/9/2012,Unknown,,Commercial/Industrial,,#2 fuel oil,Petroleum,0.01,Gallons,0
9514694,60 PRECINCT NYPD -DDC,2951 WEST 8TH STREET,,BROOKLYN,Kings,,2401,2,1/15/1996,2/16/1996,Unknown,,"Institutional, Educational, Gov., Other",,other  -  ,Other,0,Gallons,0
9302776,619 W 125TH ST,619 W 125TH ST,,MANHATTAN,New York,,3101,2,6/1/1993,6/1/1993,Equipment Failure,1/10 MILE TO HUDSON,Commercial/Industrial,,gasoline,Petroleum,0,Pounds,0
304044,651 COURT ST,651 COURT ST,,BROOKLYN,Kings,,2401,2,7/17/2003,7/17/2003,Deliberate,,Commercial/Industrial,,tar,Other,2,Gallons,0
9512589,84 PRECINCT NYPD -DDC,301 GOLD STREET,,BROOKLYN,Kings,,2401,2,1/10/1996,1/10/1996,Unknown,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
8802642,71 ST / FDR DRIVE,71 ST / FDR DRIVE,,NYC,New York,,3101,2,6/23/1988,6/23/1988,Equipment Failure,EAST RIVER,Commercial/Industrial,,#6 fuel oil,Petroleum,0,Gallons,0
1710037,71676 MANHOLE CON ED,GLENWOOD RD AND E 78TH ST,,BROOKLYN,Kings,,2401,2,2/5/2018,2/5/2018,Unknown,,Unknown,,unknown material,Other,0,,0
9515879,72 PRECINCT NYPD -DDC,830 4TH AVENUE,,BROOKLYN,Kings,,2401,2,3/11/1996,3/12/1996,Equipment Failure,,"Institutional, Educational, Gov., Other",,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
9515879,72 PRECINCT NYPD -DDC,830 4TH AVENUE,,BROOKLYN,Kings,,2401,2,3/11/1996,3/12/1996,Equipment Failure,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Gallons,0
9405467,723 E. 13TH STREET,EAST 13TH SUBSTATION,,NEW YORK,New York,,3101,2,7/21/1994,7/21/1994,Equipment Failure,,"Major Facility (MOSF) > 400,000 gal",,unknown petroleum,Petroleum,25,Gallons,0
9405467,723 E. 13TH STREET,EAST 13TH SUBSTATION,,NEW YORK,New York,,3101,2,7/21/1994,7/21/1994,Equipment Failure,,"Major Facility (MOSF) > 400,000 gal",,dielectric fluid,Petroleum,0,Pounds,0
